,Fechas,Producto bruto interno y demanda interna (Ã­ndice 2007=100) - PBI
0,Ene.2003,73.2223697356532
1,Feb.2003,71.079432278923
2,Mar.2003,74.3427231053258
3,Abr.2003,80.6677115046248
4,May.2003,83.222645844011
5,Jun.2003,80.853774469805
6,Jul.2003,79.2070171390158
7,Ago.2003,74.2120138543618
8,Sep.2003,73.8678353680876
9,Oct.2003,77.5989135108107
10,Nov.2003,75.5725386288336
11,Dic.2003,78.0097324133558
12,Ene.2004,75.9132669251778
13,Feb.2004,74.0974359154403
14,Mar.2004,78.6354629791467
15,Abr.2004,84.0944721319617
16,May.2004,86.5105702285255
17,Jun.2004,83.2874590103565
18,Jul.2004,82.1067513163865
19,Ago.2004,77.5146229152149
20,Sep.2004,77.4025938277684
21,Oct.2004,79.6324551624725
22,Nov.2004,82.7195635167179
23,Dic.2004,85.6503020745209
24,Ene.2005,79.9791610934839
25,Feb.2005,80.1344599066734
26,Mar.2005,81.3964129865707
27,Abr.2005,87.0734470255748
28,May.2005,92.1414551036507
29,Jun.2005,88.4557729993011
30,Jul.2005,87.2766006292957
31,Ago.2005,82.9894831129745
32,Sep.2005,82.0878665294671
33,Oct.2005,84.8027239326644
34,Nov.2005,90.4951176179881
35,Dic.2005,91.5459266918293
36,Ene.2006,85.6590424919578
37,Feb.2006,84.6285220854951
38,Mar.2006,91.2286928400679
39,Abr.2006,91.7780023638019
40,May.2006,97.7619063414799
41,Jun.2006,95.072899809632
42,Jul.2006,92.9616001230902
43,Ago.2006,91.5547627296281
44,Sep.2006,88.769329600051
45,Oct.2006,92.1822066698177
46,Nov.2006,94.7874212319493
47,Dic.2006,99.4183587606666
48,Ene.2007,89.9525619891583
49,Feb.2007,88.6681022105582
50,Mar.2007,96.7214346263446
51,Abr.2007,96.6364193147801
52,May.2007,104.746678845017
53,Jun.2007,101.254568601752
54,Jul.2007,102.545139242961
55,Ago.2007,100.128668441286
56,Sep.2007,100.240420653565
57,Oct.2007,103.151330807994
58,Nov.2007,104.09969689671
59,Dic.2007,111.854978369874
60,Ene.2008,98.5124879180964
61,Feb.2008,100.676634145884
62,Mar.2008,104.088023197255
63,Abr.2008,110.247082044336
64,May.2008,112.085329362857
65,Jun.2008,112.179938878862
66,Jul.2008,112.30111638353
67,Ago.2008,108.889993837838
68,Sep.2008,110.740740648059
69,Oct.2008,111.655298051568
70,Nov.2008,110.667087487058
71,Dic.2008,117.475087662226
72,Ene.2009,102.957855192325
73,Feb.2009,101.033706712377
74,Mar.2009,107.152725896407
75,Abr.2009,108.852131263431
76,May.2009,114.233019803374
77,Jun.2009,108.973271232088
78,Jul.2009,110.739303018834
79,Ago.2009,109.854091268811
80,Sep.2009,111.004716399796
81,Oct.2009,113.066652069329
82,Nov.2009,113.616686008139
83,Dic.2009,122.384677800265
84,Ene.2010,106.149264450582
85,Feb.2010,106.181811925816
86,Mar.2010,115.871470441955
87,Abr.2010,117.530092932908
88,May.2010,122.840545148001
89,Jun.2010,122.952132201831
90,Jul.2010,121.715587141414
91,Ago.2010,119.436561951622
92,Sep.2010,122.177647930984
93,Oct.2010,123.724536977663
94,Nov.2010,123.654536070543
95,Dic.2010,131.945478943862
96,Ene.2011,116.302706659201
97,Feb.2011,114.737755283976
98,Mar.2011,124.776551253859
99,Abr.2011,126.257436978601
100,May.2011,129.648233774277
101,Jun.2011,126.617358528338
102,Jul.2011,129.097715620924
103,Ago.2011,127.177016700397
104,Sep.2011,128.170155743166
105,Oct.2011,129.238351793752
106,Nov.2011,129.518569377497
107,Dic.2011,143.381121263212
108,Ene.2012,122.64307570075
109,Feb.2012,122.832024473479
110,Mar.2012,132.084654965858
111,Abr.2012,130.294082135048
112,May.2012,138.616198665595
113,Jun.2012,136.159676940064
114,Jul.2012,138.460698232367
115,Ago.2012,136.15827684685
116,Sep.2012,136.815821428683
117,Oct.2012,138.823052115623
118,Nov.2012,137.369631490211
119,Dic.2012,148.291852495988
120,Ene.2013,130.559840847313
121,Feb.2013,129.079240396255
122,Mar.2013,136.715930595915
123,Abr.2013,141.786674090456
124,May.2013,144.525016187405
125,Jun.2013,144.131402314095
126,Jul.2013,145.815083846065
127,Ago.2013,143.654372163294
128,Sep.2013,143.469578626995
129,Oct.2013,147.442209870094
130,Nov.2013,147.373841779457
131,Dic.2013,158.721732412033
132,Ene.2014,136.080258247756
133,Feb.2014,135.802172709443
134,Mar.2014,144.115520827794
135,Abr.2014,145.931663189372
136,May.2014,148.269161977272
137,Jun.2014,144.676537803455
138,Jul.2014,147.929333454283
139,Ago.2014,145.598354671513
140,Sep.2014,147.304689186188
141,Oct.2014,150.793890388592
142,Nov.2014,147.605104897511
143,Dic.2014,159.981140656818
144,Ene.2015,138.202409186313
145,Feb.2015,137.474717306916
146,Mar.2015,148.344252767499
147,Abr.2015,152.054248294457
148,May.2015,150.168401560247
149,Jun.2015,150.584615865846
150,Jul.2015,153.257172349723
151,Ago.2015,149.484600538642
152,Sep.2015,152.002084499817
153,Oct.2015,155.733423002693
154,Nov.2015,153.429616538366
155,Dic.2015,170.399515785457
156,Ene.2016,143.106489037921
157,Feb.2016,146.319169953674
158,Mar.2016,153.623531325365
159,Abr.2016,156.27510142543
160,May.2016,157.499875192763
161,Jun.2016,155.982868564529
162,Jul.2016,158.750518778954
163,Ago.2016,158.115829874286
164,Sep.2016,158.849621355488
165,Oct.2016,159.11560903742
166,Nov.2016,158.803395757805
167,Dic.2016,176.292988585925
168,Ene.2017,150.313226751915
169,Feb.2017,147.488326613345
170,Mar.2017,155.417625034017
171,Abr.2017,156.758948115849
172,May.2017,163.251645797687
173,Jun.2017,162.166156906782
174,Jul.2017,162.277267253271
175,Ago.2017,162.626232041365
176,Sep.2017,164.167730916848
177,Oct.2017,164.856422880701
178,Nov.2017,162.031537756535
179,Dic.2017,178.802875258451
180,Ene.2018,154.573488940953
181,Feb.2018,151.427610864173
182,Mar.2018,161.393406799648
183,Abr.2018,169.393610745309
184,May.2018,174.175837444048
185,Jun.2018,165.554855439437
186,Jul.2018,166.56232948485
187,Ago.2018,166.449477467445
188,Sep.2018,168.17658816427
189,Oct.2018,171.63317432662
190,Nov.2018,170.286160785504
191,Dic.2018,187.292597585809
192,Ene.2019,157.217596882009
193,Feb.2019,154.639300829233
194,Mar.2019,166.924608296084
195,Abr.2019,169.440185427895
196,May.2019,175.423692104613
197,Jun.2019,170.215022537247
198,Jul.2019,173.078562245654
199,Ago.2019,172.604170876435
200,Sep.2019,172.363763986074
201,Oct.2019,176.229838000832
202,Nov.2019,174.14665694901
203,Dic.2019,189.453737179106
204,Ene.2020,161.792628951275
205,Feb.2020,160.855800722568
206,Mar.2020,137.328875245188
207,Abr.2020,103.256848999759
208,May.2020,118.28819558614
209,Jun.2020,139.33801744899
210,Jul.2020,153.762994699039
211,Ago.2020,156.724587155803
212,Sep.2020,161.866810759322
213,Oct.2020,170.555237217205
214,Nov.2020,170.489577153081
215,Dic.2020,191.49983754064
216,Ene.2021,160.670774671989
217,Feb.2021,155.426683201898
218,Mar.2021,164.851883086312
219,Abr.2021,164.523086341123
220,May.2021,175.56572758706
221,Jun.2021,172.228066471496
222,Jul.2021,174.611818493036
223,Ago.2021,175.740469130208
224,Sep.2021,178.394075204062
225,Oct.2021,179.082999078065
226,Nov.2021,176.875408206318
227,Dic.2021,195.188528804398
228,Ene.2022,165.282113121688
229,Feb.2022,162.898976344786
230,Mar.2022,171.088712509126
231,Abr.2022,171.070910791173
232,May.2022,180.034448352894
233,Jun.2022,178.278859630867
234,Jul.2022,177.413493158314
235,Ago.2022,178.791590689553
236,Sep.2022,181.361072525021
237,Oct.2022,182.682567359535
